Country,Wind,Solar,Nuclear,Hydro
Papua New Guinea,0.0,0.0,0.0,0.8
Paraguay,0.0,0.0,0.0,43.87
Peru,1.81,0.82,0.0,32.14
Philippines,1.27,1.58,0.0,9.08
Poland,19.73,8.31,0.0,1.97
Portugal,13.28,3.52,0.0,6.54
Puerto Rico,0.16,0.28,0.0,0.05
Qatar,0.0,0.01,0.0,0.0
Romania,6.97,1.99,11.09,13.98
Russia,4.2,2.4,223.7,197.67
Rwanda,0.0,0.02,0.0,0.51
Saint Helena,0.0,0.0,0.0,0.0
Saint Kitts and Nevis,0.01,0.0,0.0,0.0
Saint Lucia,0.0,0.0,0.0,0.0
Saint Pierre and Miquelon,0.0,0.0,0.0,0.0
Saint Vincent and the Grenadines,0.0,0.0,0.0,0.04
Samoa,0.0,0.02,0.0,0.04
Sao Tome and Principe,0.0,0.0,0.0,0.01
Saudi Arabia,0.01,0.83,,
Senegal,0.74,0.84,0.0,0.31
Serbia,0.94,0.01,0.0,9.36
Seychelles,0.01,0.08,0.0,0.0
Sierra Leone,0.0,0.01,0.0,0.18
Singapore,0.0,0.67,0.0,
Slovakia,0.0,0.65,15.92,3.68
Slovenia,0.01,0.65,5.61,3.15
Solomon Islands,0.0,0.0,0.0,0.0
Somalia,0.01,0.03,0.0,0.0
South Africa,9.7,10.13,10.1,3.1
South Korea,3.36,26.97,176.05,3.54
South Sudan,0.0,0.02,0.0,0.0
Spain,61.9,35.72,58.59,17.59
Sri Lanka,0.43,0.68,0.0,5.11
Sudan,0.0,0.04,0.0,11.0
Suriname,0.0,0.01,0.0,0.99
Sweden,33.33,1.98,51.94,69.87
Switzerland,0.17,3.37,23.95,30.99
Syria,0.0,0.0,0.0,0.75
Taiwan,3.54,10.68,23.75,5.84
Tajikistan,0.0,0.0,0.0,18.66
Tanzania,0.0,0.05,0.0,2.82
Thailand,3.42,4.88,0.0,6.6
Togo,0.0,0.06,0.0,0.16
Tonga,0.0,0.01,0.0,0.0
Trinidad and Tobago,0.0,0.01,0.0,0.0
Tunisia,0.32,0.32,0.0,0.01
Turkey,34.69,15.16,0.0,66.66
Turkmenistan,0.0,0.0,0.0,0.01
Turks and Caicos Islands,0.0,0.0,0.0,0.0
Uganda,0.0,0.13,0.0,4.81
Ukraine,1.46,5.08,62.07,11.1
United Arab Emirates,0.0,6.96,20.1,
United Kingdom,80.26,13.92,47.72,5.32
United States,434.3,205.08,771.54,248.76
United States Virgin Islands,0.0,0.02,0.0,0.0
Uruguay,4.78,0.5,0.0,5.69
Uzbekistan,0.0,0.01,0.0,4.97
Vanuatu,0.0,0.01,0.0,0.0
Venezuela,0.09,0.01,0.0,65.68
Vietnam,8.04,26.37,0.0,95.96
Yemen,0.0,0.6,0.0,0.0
Zambia,0.0,0.14,0.0,17.09
Zimbabwe,0.0,0.03,0.0,5.88
